startTime,pitch,freq,duration,noteStr
0.476009069,66.5696803084,382.372,0.853333334,G4-43.0c
1.497687074,62.6141259687,304.269,0.220589569,D#4-38.6c
1.770521541,64.384841469,337.037,0.377324263,E4+38.5c
2.153650793,65.5339978014,360.168,0.841723356,F#4-46.6c
3.16371882,62.5926620695,303.892,0.232199547,D#4-40.7c
3.488798185,58.9282265567,245.92,0.104489796,B3-7.2c
4.272471655,61.0844476711,278.538,0.400544217,C#4+8.4c
4.748480725,59.6323374446,256.128,0.238004535,C4-36.8c
4.992290249,64.0748087533,331.055,0.162539682,E4+7.5c
5.16063492,61.356768103,282.954,0.255419501,C#4+35.7c
5.63664399,59.6131305145,255.844,0.354104308,C4-38.7c
6.420317459,57.0546050516,220.695,0.313469388,A3+5.5c
7.703219954,65.460925555,358.651,0.551473923,F4+46.1c
8.260498865,63.2407597918,315.484,0.255419502,D#4+24.1c
8.63201814,65.1160952746,351.578,0.191564626,F4+11.6c
8.829387754,63.6363574477,322.776,1.515102041,E4-36.4c
