startFrame,endFrame,startTime,endTime
65,88,0.377324263039,0.510839002268
88,100,0.510839002268,0.580498866213
100,191,0.580498866213,1.10875283447
191,201,1.10875283447,1.16680272109
201,208,1.16680272109,1.20743764172
208,215,1.20743764172,1.24807256236
215,227,1.24807256236,1.3177324263
232,276,1.34675736961,1.60217687075
276,293,1.60217687075,1.700861678
293,303,1.700861678,1.75891156463
303,325,1.75891156463,1.88662131519
360,416,2.08979591837,2.41487528345
416,432,2.41487528345,2.50775510204
432,533,2.50775510204,3.09405895692
533,557,3.09405895692,3.23337868481
557,567,3.23337868481,3.29142857143
567,574,3.29142857143,3.33206349206
574,583,3.33206349206,3.38430839002
583,595,3.38430839002,3.45396825397
595,603,3.45396825397,3.50040816327
603,609,3.50040816327,3.53523809524
793,802,4.60335600907,4.65560090703
802,848,4.65560090703,4.92263038549
848,891,4.92263038549,5.17224489796
920,933,5.34058956916,5.41605442177
933,946,5.41605442177,5.49151927438
946,952,5.49151927438,5.52634920635
952,958,5.52634920635,5.56117913832
958,978,5.56117913832,5.67727891156
978,998,5.67727891156,5.79337868481
1017,1039,5.90367346939,6.03138321995
1039,1072,6.03138321995,6.2229478458
1072,1104,6.2229478458,6.40870748299
1104,1118,6.40870748299,6.48997732426
1136,1153,6.59446712018,6.69315192744
1153,1182,6.69315192744,6.86149659864
1182,1205,6.86149659864,6.99501133787
1205,1216,6.99501133787,7.05886621315
1246,1269,7.23301587302,7.36653061224
1269,1328,7.36653061224,7.70902494331
1328,1337,7.70902494331,7.76126984127
1337,1349,7.76126984127,7.83092970522
1348,1362,7.82512471655,7.90639455782
1362,1377,7.90639455782,7.99346938776
1377,1408,7.99346938776,8.17342403628
1408,1430,8.17342403628,8.30113378685
1463,1503,8.4926984127,8.72489795918
1503,1534,8.72489795918,8.90485260771
1534,1581,8.90485260771,9.17768707483
1581,1613,9.17768707483,9.36344671202
1613,1654,9.36344671202,9.60145124717
1654,1680,9.60145124717,9.75238095238
1680,1702,9.75238095238,9.88009070295
1702,1737,9.88009070295,10.0832653061
