student,teacher
0,null
1,null
2,null
3,null
4,1
5,2
6,3
7,4
8,5 6
9,7
10,7
11,7
12,7
13,8
14,8
15,8
16,9
17,10
18,11
19,13
20,13
21,13
22,14
23,15
24,16 17 18 19
25,19
26,19
27,20
28,20
29,20
30,20
31,21 22
32,23
33,23 24
34,25 26 27
35,27
36,28 29
37,30
38,31
39,32 33
40,33
41,33
42,33
43,33
44,33
45,34
46,34
47,35
48,35
49,36
50,37
51,38 39
52,40
53,41 42
54,42 43
55,44
56,null
57,45 46
58,47 48 49 50
59,51 52
60,null
61,53 54 55
62,56 57 58
63,59
64,60
65,61
66,62
67,63 64
68,64 65
69,66 67
70,67 68
71,69
72,70 71
73,72
74,73
75,73
76,74
77,74
78,75 76 77
79,78 79
80,79
81,80
82,81
83,82 83
84,83
85,84
86,84
87,85
88,85 86 87 88 89 90
89,91
90,92
91,93 94
92,94
